date_of_event,age,citizenship,event_location,event_location_district,event_location_region,date_of_death,gender,took_part_in_the_hostilities,place_of_residence,place_of_residence_district,type_of_injury,ammunition,killed_by,DESIRED_FORMAT,age_group
17-05-2021,18,Palestinian,Beit Lahiya,North Gaza,Gaza Strip,17-05-2021,M,Yes,Beit Lahiya,North Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,19,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,13,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,15,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,8,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,3,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,12,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,32,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,41,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,19,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,28,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,22,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,44,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,9,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,14,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
16-05-2021,23,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,15-44
16-05-2021,62,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,M,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,45-64
16-05-2021,5,Palestinian,Gaza City,Gaza,Gaza Strip,16-05-2021,F,No,Gaza city,Gaza,gunfire,missile,Israeli security forces,May 2021,0-14
